,name,rank,lp,level,wins,losses,most_played_champ_1,most_played_champ_2,most_played_champ_3
383,KERBEROS LOL TTV,grandmaster,839,179,168,142,Kayle,Poppy,Camille
384,GMagnusCarlsen,grandmaster,839,528,120,88,Lissandra,Rakan,Ahri
385,Cat Cafe Enjoyer,grandmaster,839,560,92,69,Rumble,Renekton,Jax
386,Nubobo,grandmaster,836,198,116,93,Nautilus,Rakan,Senna
387,lopg agop,grandmaster,834,558,219,173,Samira,Kaisa,Xayah
388,Terrør,grandmaster,833,280,125,100,Gnar,Renekton,Ornn
389,abagnale1,grandmaster,833,283,150,126,Rell,Nautilus,Rakan
390,c0cky movement,grandmaster,833,706,185,164,Kaisa,Tristana,Ahri
391,V Julius Caesar,grandmaster,832,665,94,69,Rakan,Blitzcrank,Senna
392,dejfDawid1,grandmaster,831,461,99,80,Viego,XinZhao,Lillia
393,Don Arts,grandmaster,829,1116,91,66,Nidalee,Poppy,JarvanIV
394,Kehvo,grandmaster,828,525,137,115,Ezreal,Kaisa,Zeri
395,Jimmy on top,grandmaster,827,133,160,135,Zeri,Senna,Ashe
396,MrDon001,grandmaster,827,374,143,114,Orianna,TwistedFate,Syndra
397,unfilmed,grandmaster,827,584,243,219,Kaisa,Ashe,Zeri
398,BIomster Finn,grandmaster,825,600,100,75,Rumble,Aatrox,Kled
399,Syzyfek,grandmaster,825,93,260,231,Varus,Kaisa,Zeri
400,Nomanz,grandmaster,822,821,140,117,Tristana,Azir,Leblanc
401,de sidere1,grandmaster,821,687,190,178,Belveth,Viego,Lillia
402,LéoKujo,grandmaster,820,61,145,107,Taliyah,Syndra,Cassiopeia
403,ΑrchΦiend,grandmaster,820,85,86,57,Aatrox,Pantheon,Renekton
404,faker baIIsack,grandmaster,819,692,141,116,Syndra,Yasuo,Yone
405,Julbu,grandmaster,818,522,114,87,Taliyah,JarvanIV,Poppy
406,DMAA enjoyer,grandmaster,817,599,189,157,Leblanc,Tristana,Jayce
407,UNENDLlCHKEIT,grandmaster,817,747,153,131,LeeSin,Viego,Shaco
408,Keziix 1,grandmaster,817,59,186,133,Vladimir,Sylas,Kassadin
409,DJ Summermix,grandmaster,817,395,204,176,Alistar,Rakan,Rell
410,SLY BackSteeeL,grandmaster,816,360,123,97,Rell,Nautilus,Rakan
411,Emerald Dragon,grandmaster,816,66,71,38,Leblanc,Syndra,Jayce
412,O Carnagios,grandmaster,815,822,256,235,Viego,Poppy,JarvanIV
413,CHINA CHINA,grandmaster,814,495,86,52,Yone,Jayce,Viktor
414,fantomisto,grandmaster,814,468,168,144,Cassiopeia,Ahri,Syndra
415,inner vοid,grandmaster,814,744,114,78,Kayle,Jayce,Jax
416,Zubac,grandmaster,811,481,244,215,Viego,Belveth,JarvanIV
417,CHRSTINA GRIMMIE,grandmaster,810,288,137,92,Azir,Ezreal,Tristana
418,Nobreak,grandmaster,809,64,133,104,Nunu,Taric,MasterYi
419,A Blue Sapphire,grandmaster,809,132,162,135,Rell,Rakan,Nautilus
420,osmn,grandmaster,809,117,136,108,Nidalee,LeeSin,Taliyah
421,Venour,grandmaster,808,666,134,111,Renekton,Aatrox,Rumble
422,Unméi,grandmaster,807,275,132,112,Alistar,Nautilus,Heimerdinger
423,wp0z3q,grandmaster,807,114,276,211,Diana,JarvanIV,Karma
424,VΣTHΣΘ,grandmaster,807,653,113,91,Jayce,Kaisa,Ahri
425,Mαster Oogwαy,grandmaster,807,191,79,57,Aphelios,Kaisa,Nilah
426,DeadhoundC,grandmaster,805,690,348,322,Kaisa,Zeri,Ezreal
427,SURPRISEPIKACHU,grandmaster,805,60,73,46,Janna,Ashe,Lissandra
428,Stormaxx,grandmaster,803,533,126,106,JarvanIV,Viego,LeeSin
429,ZWYRR1,grandmaster,802,891,140,121,Leblanc,Akali,Lissandra
430,Cast,grandmaster,802,756,238,219,Kindred,Belveth,Karthus
431,xLinayaa,grandmaster,801,158,65,42,Jax,Yone,KSante
432,SonOfAchilleus,grandmaster,800,747,214,181,Zeri,Xayah,Ashe
433,Drugdar,grandmaster,800,227,98,73,Ezreal,Aphelios,Kaisa
434,TTV Daitolol,grandmaster,798,617,145,119,Akali,Yone,Naafiri
435,SupremeG0at,grandmaster,797,774,245,218,Akali,Ahri,Seraphine
436,ACD,grandmaster,795,563,75,57,Kled,Camille,Gangplank
437,William4,grandmaster,794,634,135,113,Ahri,Sett,Lissandra
438,owΙ,grandmaster,794,53,158,112,Yone,Yasuo,Talon
439,K31 C4 M,grandmaster,793,488,63,38,Rell,Alistar,Rakan
440,Dumletikkari,grandmaster,792,481,320,286,Zac,Garen,Malphite
441,pls lose it,grandmaster,791,312,162,132,Jayce,Taliyah,Leblanc
442,ZPG Kejila,grandmaster,789,539,143,119,Orianna,Vladimir,Azir
443,sense xvenım,grandmaster,789,347,541,523,Yone,Aatrox,Jax
444,maru,grandmaster,787,121,166,136,Kaisa,Zeri,Ashe
445,Depresedvkid1337,grandmaster,787,189,288,263,Yone,Ezreal,Vladimir
446,My own story,grandmaster,787,685,269,248,Riven,Jayce,Akali
447,Ttv KoalachanLoL,grandmaster,785,182,109,79,Irelia,KSante,Yone
448,Stasko Lover,grandmaster,784,196,130,103,Belveth,Nocturne,Karthus
449,Legendary Chapi,grandmaster,783,206,191,162,JarvanIV,Nocturne,Khazix
450,Pigheadd,grandmaster,781,530,123,93,Irelia,Rumble,Thresh
451,Objectionable,grandmaster,781,57,103,53,Udyr,Aatrox,Pantheon
452,NHWK,grandmaster,780,541,223,197,Evelynn,Karthus,JarvanIV
453,Composites,grandmaster,779,466,100,79,Yasuo,Zed,Syndra
454,Sérenity,grandmaster,779,549,108,75,Soraka,Karma,Zyra
455,MORON M0DE,grandmaster,779,148,166,144,Viego,Gragas,Karthus
456,ShadowZerô,grandmaster,777,1043,361,344,Soraka,Poppy,Sona
457,uciu1,grandmaster,777,330,138,109,Rumble,Maokai,Khazix
458,Hαrry Ambrose,grandmaster,776,1020,204,184,Rell,Alistar,Rakan
459,INDD,grandmaster,773,1270,191,163,Syndra,Tristana,Jayce
460,ChainIess,grandmaster,773,907,84,59,Kaisa,Ashe,Nautilus
461,Irode,grandmaster,773,691,123,99,Elise,Malphite,Fiora
462,Looki LFT,grandmaster,772,719,161,141,Ezreal,Kaisa,Zeri
463,Sin Laurent,grandmaster,772,164,77,50,Khazix,Kayn,Karthus
464,INT gregreg,grandmaster,771,738,120,99,Bard,Rakan,Nautilus
465,BELLINGHAM 9 ,grandmaster,771,858,153,136,Aatrox,Renekton,Gnar
466,egoist rumble,grandmaster,771,77,83,55,Rumble,Teemo,Pantheon
467,1roNN,grandmaster,771,847,227,208,Rell,Pyke,Nautilus
468,L9 Manager,grandmaster,770,170,108,78,Nidalee,Viego,Khazix
469,Mountain Wolf,grandmaster,770,480,102,79,JarvanIV,Viego,Khazix
470,Démiurge Éternel,grandmaster,768,133,163,132,Vladimir,AurelionSol,Garen
471,Lû Bu,grandmaster,767,415,154,118,Maokai,Leona,Alistar
472,Λlixx,grandmaster,766,489,108,86,Syndra,Zed,Jayce
473,TPCL,grandmaster,766,526,140,112,Renekton,Gnar,Kennen
474,ROC Myster,grandmaster,765,132,102,74,Yone,Yasuo,
475,guma i u6i,grandmaster,765,224,71,46,Xayah,Zeri,Kaisa
476,Elite500,grandmaster,765,641,99,77,Vladimir,Soraka,Viktor
477,Fαllεn 2,grandmaster,765,234,87,56,JarvanIV,Zac,LeeSin
478,Afrogirl,grandmaster,764,448,105,82,Kindred,JarvanIV,Viego
479,V E J A I R O ,grandmaster,764,239,194,170,Zed,Yone,Yasuo
480,MARIA I AM DRUNK,grandmaster,764,602,261,237,Nautilus,Rell,Alistar
481,kcohkvoybd,grandmaster,763,1089,296,273,Kaisa,Thresh,Pyke
482,orderman,grandmaster,763,118,74,45,Orianna,Ahri,Sylas
483,BoostedsDetector,grandmaster,762,1182,233,214,Kaisa,Ashe,Xayah
484,G A Z R I B U,grandmaster,762,99,183,137,Jayce,Tristana,Ahri
485,Mishigu ,grandmaster,761,591,84,59,Kaisa,Zeri,Twitch
486,Rutzou,grandmaster,761,278,196,160,Rakan,Kaisa,Alistar
487,Rabble Arouser,grandmaster,761,542,45,22,Lillia,Briar,Viego
488,TwtvYuroxlol,grandmaster,761,67,136,120,Cassiopeia,Ezreal,Veigar
489,EDG Innaxe,grandmaster,761,213,103,79,Zeri,Kaisa,Ezreal
490,FEBIVEN,grandmaster,761,432,151,136,Leblanc,Jayce,Tristana
491,1500LP,grandmaster,761,84,103,60,Nidalee,LeeSin,Karthus
492,Fluf0,grandmaster,760,681,230,203,Ahri,Leblanc,Tristana
493,Jamsu,grandmaster,760,876,107,79,Rakan,Poppy,Braum
494,eYa Cedeiix,grandmaster,758,351,153,127,Graves,Kindred,Viego
495,noob phobia,grandmaster,758,360,81,59,Rell,Alistar,Soraka
496,Warnerr,grandmaster,757,333,173,151,Leblanc,Jayce,Gragas
497,Raito Final ACC,grandmaster,756,51,92,62,Alistar,Rakan,Blitzcrank
498,AxelentLOL,grandmaster,755,812,285,274,Kaisa,Xayah,Ashe
499,Seminol,grandmaster,755,597,100,79,Poppy,Aatrox,Gwen
